日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-12-09,'002568,百润股份,87.89,87.89,78.98,79.1,79.9,7.99,10.0,1.3116,6817489,576414732.33,47096069721.1,45685454908.5
2020-12-08,'002568,百润股份,79.9,81.49,78.52,79.78,79.99,-0.09,-0.1125,0.4348,2260199,179947309.37,42814608837.4,41532231735.0
2020-12-07,'002568,百润股份,79.99,80.0,78.0,78.53,78.86,1.13,1.4329,0.5519,2868784,227391987.82,42862835555.7,41579013973.5
2020-12-04,'002568,百润股份,78.86,79.5,74.0,75.33,75.38,3.48,4.6166,0.6848,3559786,273740532.02,42257322314.4,40991636979.0
2020-12-03,'002568,百润股份,75.38,75.9,71.28,72.68,71.96,3.42,4.7526,0.8412,4372734,325124582.43,40392555871.9,39182723757.0
2020-12-02,'002568,百润股份,71.96,74.48,71.33,74.48,74.54,-2.58,-3.4612,1.0757,5591419,404260894.33,38559940575.0,37404998694.0
2020-12-01,'002568,百润股份,74.54,75.99,73.51,75.99,76.55,-2.01,-2.6257,0.7654,3978552,296598067.85,39942439834.0,38746089531.0
2020-11-30,'002568,百润股份,76.55,76.69,72.6,76.67,76.7,-0.15,-0.1956,1.4359,7463756,556872362.42,41019503210.3,39790892857.5
2020-11-27,'002568,百润股份,76.7,77.0,72.51,75.03,75.32,1.38,1.8322,0.6989,3633099,274315691.47,41099881074.2,39868863255.0
2020-11-26,'002568,百润股份,75.32,77.66,69.46,74.04,76.39,-1.07,-1.4007,1.6377,8512979,628211132.45,40360404726.3,39151535598.0
2020-11-25,'002568,百润股份,76.39,83.97,75.87,83.7,84.3,-7.91,-9.3832,1.2849,6678901,516757276.28,40933766822.1,39707724433.5
2020-11-24,'002568,百润股份,84.3,84.5,80.52,82.0,82.47,1.83,2.219,0.5949,3092458,256429346.83,45172359511.8,43819363395.0
2020-11-23,'002568,百润股份,82.47,85.51,82.33,84.5,84.56,-2.09,-2.4716,0.8794,4571250,382827793.45,44191749572.2,42868124545.5
2020-11-20,'002568,百润股份,84.56,85.3,80.16,81.31,81.63,2.93,3.5894,1.0036,5216512,428603648.46,45311681142.6,43954512084.0
2020-11-19,'002568,百润股份,81.63,83.55,75.18,76.07,76.08,5.55,7.295,1.1963,6218205,500672757.71,42431490319.5,42431490319.5
2020-11-18,'002568,百润股份,76.08,77.8,74.6,75.85,75.89,0.19,0.2504,0.9061,4710188,358458248.82,39546585612.0,39546585612.0
2020-11-17,'002568,百润股份,75.89,76.8,74.9,76.7,75.44,0.45,0.5965,0.5573,2897102,219525292.18,39447823108.5,39447823108.5
2020-11-16,'002568,百润股份,75.44,77.3,74.03,74.57,74.65,0.79,1.0583,0.8952,4653459,352955690.41,39213911916.0,39213911916.0
2020-11-13,'002568,百润股份,74.65,75.5,72.07,74.36,75.64,-0.99,-1.3088,0.7099,3689916,272451519.83,38803267822.5,38803267822.5
2020-11-12,'002568,百润股份,75.64,76.36,72.51,73.01,73.5,2.14,2.9116,0.7763,4035218,302616295.39,39317872446.0,39317872446.0
2020-11-11,'002568,百润股份,73.5,75.56,72.86,73.69,73.67,-0.17,-0.2308,0.811,4215506,312191167.99,38205494775.0,38205494775.0
2020-11-10,'002568,百润股份,73.67,75.63,67.55,68.6,68.82,4.85,7.0474,1.1372,5911238,428183639.89,38293861225.5,38293861225.5
